# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for NCPA calibration mode
# Source is NCPA MGG Lamps
# nm, W/nm, photons/s/nm
2.415860000000000127e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.418540000000000134e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.421229999999999905e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.423909999999999911e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.426599999999999966e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.429279999999999973e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.431970000000000027e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.434660000000000082e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.437340000000000089e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.440029999999999859e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.442709999999999866e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.445399999999999920e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.448079999999999927e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.450769999999999982e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.453449999999999989e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.456140000000000043e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.458820000000000050e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.461510000000000105e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.464190000000000111e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.466879999999999882e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.469559999999999889e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.472249999999999943e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.474929999999999950e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.477609999999999957e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.480300000000000011e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.482980000000000018e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.485670000000000073e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.488350000000000080e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.491040000000000134e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.493720000000000141e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.496399999999999864e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.499089999999999918e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.501769999999999925e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.504449999999999932e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.507139999999999986e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.509819999999999993e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.512500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.515190000000000055e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.517870000000000061e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.520550000000000068e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.523240000000000123e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.525920000000000130e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.528600000000000136e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.531289999999999907e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.533969999999999914e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.536649999999999920e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.539339999999999975e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.542019999999999982e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.544699999999999989e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.547379999999999995e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.550070000000000050e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.552750000000000057e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.555430000000000064e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.558110000000000070e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.560799999999999841e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.563480000000000132e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.566159999999999854e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.568840000000000146e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.571519999999999868e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.574209999999999923e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.576890000000000214e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.579569999999999936e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.582250000000000227e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.584929999999999950e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.587610000000000241e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.590289999999999964e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.592980000000000018e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.595659999999999741e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.598340000000000032e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.601019999999999754e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.603700000000000045e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.606379999999999768e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.609060000000000059e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.611739999999999782e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.614420000000000073e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.617110000000000127e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.619789999999999850e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.622470000000000141e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.625149999999999864e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.627830000000000155e+02,0.000000000000000000e+00,0.000000000000000000e+00
